model_name,feature_set,n_features,n_train,n_test,n_train_users,n_test_users,macro_f1,balanced_accuracy,accuracy,auroc,test_frac,seed
random_forest,history_raw_plus_prior_label_rate,197,5213,2927,697,697,0.790488284340256,0.7913767932844831,0.790570550051247,0.8432449441777328,0.35,73
random_forest,prior_label_rate_only,1,5213,2927,697,697,0.7809503394720014,0.7819819946283351,0.7810044414075845,0.8444577800237701,0.35,73
random_forest,allday_raw,98,4555,3585,697,697,0.544967903458393,0.544960477080947,0.5458856345885634,0.5727933166765705,0.45,11
random_forest,allday_raw_plus_prior_label_rate,99,4555,3585,697,697,0.7778327161792535,0.7778008833031022,0.7782426778242678,0.8336830858617256,0.45,11
random_forest,history_raw,196,4555,3585,697,697,0.6345537312271419,0.6360931203246385,0.6345885634588564,0.6919807788356436,0.45,11
random_forest,history_raw_plus_prior_label_rate,197,4555,3585,697,697,0.7818952538535824,0.7820844294601476,0.7821478382147838,0.8357759891953437,0.45,11
random_forest,prior_label_rate_only,1,4555,3585,697,697,0.7723711687919415,0.7718436068397065,0.7737796373779637,0.8479388658976789,0.45,11
random_forest,allday_raw,98,4555,3585,697,697,0.5552757360064604,0.555264276980308,0.5562064156206415,0.5769167696023016,0.45,42
random_forest,allday_raw_plus_prior_label_rate,99,4555,3585,697,697,0.7780514619883041,0.7779525587793132,0.7785216178521618,0.8335689785147713,0.45,42
random_forest,history_raw,196,4555,3585,697,697,0.6331334621363912,0.6348237540319488,0.6331938633193863,0.6887748612161597,0.45,42
random_forest,history_raw_plus_prior_label_rate,197,4555,3585,697,697,0.780459996148052,0.7805827954803515,0.7807531380753138,0.8375324940935418,0.45,42
random_forest,prior_label_rate_only,1,4555,3585,697,697,0.7723711687919415,0.7718436068397065,0.7737796373779637,0.8479575720201303,0.45,42
random_forest,allday_raw,98,4555,3585,697,697,0.550190869915435,0.5501991266734965,0.5509065550906556,0.5747780362686773,0.45,73
random_forest,allday_raw_plus_prior_label_rate,99,4555,3585,697,697,0.7755641098106478,0.7754958213640131,0.7760111576011157,0.8357133236851311,0.45,73
random_forest,history_raw,196,4555,3585,697,697,0.6319680277227147,0.6338918773651554,0.6320781032078103,0.6879945041412237,0.45,73
random_forest,history_raw_plus_prior_label_rate,197,4555,3585,697,697,0.783081046635926,0.7834111611950219,0.7832635983263598,0.8386928972229513,0.45,73
random_forest,prior_label_rate_only,1,4555,3585,697,697,0.7723711687919415,0.7718436068397065,0.7737796373779637,0.8508800918844734,0.45,73
