regime,target_name,half,model,n_train_rows,n_features,coefficient_l2_norm
expanding_refit,sedentary_duration,late,calendar,17004,3,0.01715434195917502
expanding_refit,sedentary_duration,late,lag1_history,17004,4,0.03825302682250195
expanding_refit,sedentary_duration,late,short_window_history,17004,5,0.04302086637131399
expanding_refit,sedentary_duration,late,recent_history,17004,6,0.04259117614085809
expanding_refit,sedentary_duration,late,long_horizon_fingerprint,17004,5,0.048848513348637455
expanding_refit,sedentary_duration,late,combined_own_history,17004,8,0.03837854982953822
expanding_refit,sedentary_duration,late,cross_domain_history,17004,29,0.08322002286534706
disjoint_refit,sedentary_duration,early,calendar,6864,3,0.023721473833313404
disjoint_refit,sedentary_duration,early,lag1_history,6864,4,0.042291799861667166
disjoint_refit,sedentary_duration,early,short_window_history,6864,5,0.04771051475060093
disjoint_refit,sedentary_duration,early,recent_history,6864,6,0.04722367012754024
disjoint_refit,sedentary_duration,early,long_horizon_fingerprint,6864,5,0.05103053437073108
disjoint_refit,sedentary_duration,early,combined_own_history,6864,8,0.03934782394876092
disjoint_refit,sedentary_duration,early,cross_domain_history,6864,29,0.04735582637051993
disjoint_refit,sedentary_duration,late,calendar,7153,3,0.017763677398465152
disjoint_refit,sedentary_duration,late,lag1_history,7153,4,0.036076669579607715
disjoint_refit,sedentary_duration,late,short_window_history,7153,5,0.040155399690961116
disjoint_refit,sedentary_duration,late,recent_history,7153,6,0.039376385072322474
disjoint_refit,sedentary_duration,late,long_horizon_fingerprint,7153,5,0.0474413048284136
disjoint_refit,sedentary_duration,late,combined_own_history,7153,8,0.0393093070394514
disjoint_refit,sedentary_duration,late,cross_domain_history,7153,29,0.10117772030432945
fixed_refit,sleep_duration,early,calendar,11912,3,0.04515441586137966
fixed_refit,sleep_duration,early,lag1_history,11912,4,0.086348800829591
fixed_refit,sleep_duration,early,short_window_history,11912,5,0.1592443108101467
fixed_refit,sleep_duration,early,recent_history,11912,6,0.1609467096621328
fixed_refit,sleep_duration,early,long_horizon_fingerprint,11912,5,0.15765476795923578
fixed_refit,sleep_duration,early,combined_own_history,11912,8,0.13271585801842725
fixed_refit,sleep_duration,early,cross_domain_history,11912,29,1.978567472009974
fixed_refit,sleep_duration,late,calendar,11912,3,0.04515441586137966
fixed_refit,sleep_duration,late,lag1_history,11912,4,0.086348800829591
fixed_refit,sleep_duration,late,short_window_history,11912,5,0.1592443108101467
fixed_refit,sleep_duration,late,recent_history,11912,6,0.1609467096621328
fixed_refit,sleep_duration,late,long_horizon_fingerprint,11912,5,0.15765476795923578
fixed_refit,sleep_duration,late,combined_own_history,11912,8,0.13271585801842725
fixed_refit,sleep_duration,late,cross_domain_history,11912,29,1.978567472009974
expanding_refit,sleep_duration,early,calendar,11912,3,0.04515441586137966
expanding_refit,sleep_duration,early,lag1_history,11912,4,0.086348800829591
expanding_refit,sleep_duration,early,short_window_history,11912,5,0.1592443108101467
expanding_refit,sleep_duration,early,recent_history,11912,6,0.1609467096621328
expanding_refit,sleep_duration,early,long_horizon_fingerprint,11912,5,0.15765476795923578
expanding_refit,sleep_duration,early,combined_own_history,11912,8,0.13271585801842725
expanding_refit,sleep_duration,early,cross_domain_history,11912,29,1.978567472009974
expanding_refit,sleep_duration,late,calendar,15529,3,0.04481665953661582
expanding_refit,sleep_duration,late,lag1_history,15529,4,0.08607542404567572
expanding_refit,sleep_duration,late,short_window_history,15529,5,0.15470039870528804
expanding_refit,sleep_duration,late,recent_history,15529,6,0.15536920597108417
expanding_refit,sleep_duration,late,long_horizon_fingerprint,15529,5,0.1532779654389156
expanding_refit,sleep_duration,late,combined_own_history,15529,8,0.13036497220202903
expanding_refit,sleep_duration,late,cross_domain_history,15529,29,2.0279641708918823
disjoint_refit,sleep_duration,early,calendar,6280,3,0.0718163104646902
disjoint_refit,sleep_duration,early,lag1_history,6280,4,0.10126884244553976
disjoint_refit,sleep_duration,early,short_window_history,6280,5,0.16009675328601614
disjoint_refit,sleep_duration,early,recent_history,6280,6,0.16288799636416484
disjoint_refit,sleep_duration,early,long_horizon_fingerprint,6280,5,0.16213833106357883
disjoint_refit,sleep_duration,early,combined_own_history,6280,8,0.14105386318005458
disjoint_refit,sleep_duration,early,cross_domain_history,6280,29,2.0520683683895258
disjoint_refit,sleep_duration,late,calendar,6422,3,0.05151065051957319
disjoint_refit,sleep_duration,late,lag1_history,6422,4,0.09454986582038201
disjoint_refit,sleep_duration,late,short_window_history,6422,5,0.14185274143668242
disjoint_refit,sleep_duration,late,recent_history,6422,6,0.139476579007263
disjoint_refit,sleep_duration,late,long_horizon_fingerprint,6422,5,0.14834206635583397
disjoint_refit,sleep_duration,late,combined_own_history,6422,8,0.12501282405544553
disjoint_refit,sleep_duration,late,cross_domain_history,6422,29,1.7876216623835826
fixed_refit,sleep_efficiency,early,calendar,11762,3,0.0028119532472522975
fixed_refit,sleep_efficiency,early,lag1_history,11762,4,0.030966659232730186
fixed_refit,sleep_efficiency,early,short_window_history,11762,5,0.04440812682863991
fixed_refit,sleep_efficiency,early,recent_history,11762,6,0.042664310210241654
fixed_refit,sleep_efficiency,early,long_horizon_fingerprint,11762,5,0.04254426786673238
fixed_refit,sleep_efficiency,early,combined_own_history,11762,8,0.037391359307933004
fixed_refit,sleep_efficiency,early,cross_domain_history,11762,29,0.07481382080737632
fixed_refit,sleep_efficiency,late,calendar,11762,3,0.0028119532472522975
fixed_refit,sleep_efficiency,late,lag1_history,11762,4,0.030966659232730186
fixed_refit,sleep_efficiency,late,short_window_history,11762,5,0.04440812682863991
fixed_refit,sleep_efficiency,late,recent_history,11762,6,0.042664310210241654
fixed_refit,sleep_efficiency,late,long_horizon_fingerprint,11762,5,0.04254426786673238
fixed_refit,sleep_efficiency,late,combined_own_history,11762,8,0.037391359307933004
fixed_refit,sleep_efficiency,late,cross_domain_history,11762,29,0.07481382080737632
expanding_refit,sleep_efficiency,early,calendar,11762,3,0.0028119532472522975
