target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,r2,mae_log,pearson_r
steps_sum,tomorrow,morning,calendar_only,13095,7481,639,639,-0.005356660309415062,0.8070894458682815,0.20475617372256041
steps_sum,tomorrow,morning,recent_history_only,13095,7481,639,639,0.279207132771378,0.6038637466710924,0.529067347009458
steps_sum,tomorrow,morning,fingerprint_42d_only,13095,7481,639,639,0.2882766616630491,0.5966250981977244,0.5392090065609915
steps_sum,tomorrow,morning,today_partial_only,13095,7481,639,639,0.0832579569335754,0.748514865517572,0.3134298462203726
steps_sum,tomorrow,morning,history_plus_fingerprint,13095,7481,639,639,0.29082693825186656,0.5947086594584858,0.5411030087495059
steps_sum,tomorrow,morning,history_fingerprint_plus_today,13095,7481,639,639,0.29225964413598715,0.5936784381297996,0.5423301244967123
steps_sum,tomorrow,afternoon,calendar_only,13095,7481,639,639,-0.005356660309415062,0.8070894458682815,0.20475617372256041
steps_sum,tomorrow,afternoon,recent_history_only,13095,7481,639,639,0.279207132771378,0.6038637466710924,0.529067347009458
steps_sum,tomorrow,afternoon,fingerprint_42d_only,13095,7481,639,639,0.2882766616630491,0.5966250981977244,0.5392090065609915
steps_sum,tomorrow,afternoon,today_partial_only,13095,7481,639,639,0.1381251411330432,0.703509848110013,0.3800987076974214
steps_sum,tomorrow,afternoon,history_plus_fingerprint,13095,7481,639,639,0.29082693825186656,0.5947086594584858,0.5411030087495059
steps_sum,tomorrow,afternoon,history_fingerprint_plus_today,13095,7481,639,639,0.294541655066488,0.5916507650863714,0.5443362035701902
steps_sum,tomorrow,evening,calendar_only,13095,7481,639,639,-0.005356660309415062,0.8070894458682815,0.20475617372256041
steps_sum,tomorrow,evening,recent_history_only,13095,7481,639,639,0.279207132771378,0.6038637466710924,0.529067347009458
steps_sum,tomorrow,evening,fingerprint_42d_only,13095,7481,639,639,0.2882766616630491,0.5966250981977244,0.5392090065609915
steps_sum,tomorrow,evening,today_partial_only,13095,7481,639,639,0.18404173828908943,0.6744856501693646,0.4323447957626479
steps_sum,tomorrow,evening,history_plus_fingerprint,13095,7481,639,639,0.29082693825186656,0.5947086594584858,0.5411030087495059
steps_sum,tomorrow,evening,history_fingerprint_plus_today,13095,7481,639,639,0.2987254954038613,0.588941837401372,0.5479242139193936
steps_sum,next_week,morning,calendar_only,12085,6941,636,636,-0.07740679131433592,0.5419978423983794,0.2565301437669905
steps_sum,next_week,morning,recent_history_only,12085,6941,636,636,0.6254680521002809,0.29615747730432773,0.794256747121695
steps_sum,next_week,morning,fingerprint_42d_only,12085,6941,636,636,0.6503764423835003,0.28478325269310767,0.8106257967215884
steps_sum,next_week,morning,today_partial_only,12085,6941,636,636,0.09610613897541154,0.4871376500173951,0.4087145167831023
steps_sum,next_week,morning,history_plus_fingerprint,12085,6941,636,636,0.656040229094113,0.2821773982885139,0.8133368963754027
steps_sum,next_week,morning,history_fingerprint_plus_today,12085,6941,636,636,0.6572514451110394,0.28147611051602667,0.8139268645388982
steps_sum,next_week,afternoon,calendar_only,12085,6941,636,636,-0.07740679131433592,0.5419978423983794,0.2565301437669905
steps_sum,next_week,afternoon,recent_history_only,12085,6941,636,636,0.6254680521002809,0.29615747730432773,0.794256747121695
steps_sum,next_week,afternoon,fingerprint_42d_only,12085,6941,636,636,0.6503764423835003,0.28478325269310767,0.8106257967215884
steps_sum,next_week,afternoon,today_partial_only,12085,6941,636,636,0.22452780225509394,0.4439326382556988,0.5205929743294594
steps_sum,next_week,afternoon,history_plus_fingerprint,12085,6941,636,636,0.656040229094113,0.2821773982885139,0.8133368963754027
steps_sum,next_week,afternoon,history_fingerprint_plus_today,12085,6941,636,636,0.6588750667833903,0.28059577900098226,0.8148420860829342
steps_sum,next_week,evening,calendar_only,12085,6941,636,636,-0.07740679131433592,0.5419978423983794,0.2565301437669905
steps_sum,next_week,evening,recent_history_only,12085,6941,636,636,0.6254680521002809,0.29615747730432773,0.794256747121695
steps_sum,next_week,evening,fingerprint_42d_only,12085,6941,636,636,0.6503764423835003,0.28478325269310767,0.8106257967215884
steps_sum,next_week,evening,today_partial_only,12085,6941,636,636,0.31040297026794406,0.4160936900644653,0.5870550740707957
steps_sum,next_week,evening,history_plus_fingerprint,12085,6941,636,636,0.656040229094113,0.2821773982885139,0.8133368963754027
steps_sum,next_week,evening,history_fingerprint_plus_today,12085,6941,636,636,0.660435991333526,0.2799979353977462,0.81573018260461
active_duration,tomorrow,morning,calendar_only,13091,7481,639,639,-0.004126803919803468,0.5993419572960483,0.10962007054560079
active_duration,tomorrow,morning,recent_history_only,13091,7481,639,639,0.2409196419284242,0.4674737523536008,0.49248118787097184
active_duration,tomorrow,morning,fingerprint_42d_only,13091,7481,639,639,0.25409095144024907,0.4617101470118681,0.5063527852861456
active_duration,tomorrow,morning,today_partial_only,13091,7481,639,639,0.06577831561115688,0.5630166910604737,0.265603926591691
active_duration,tomorrow,morning,history_plus_fingerprint,13091,7481,639,639,0.25637009164469426,0.4602462912689112,0.5082675479299813
active_duration,tomorrow,morning,history_fingerprint_plus_today,13091,7481,639,639,0.25742976148024843,0.4595224322621062,0.5093194867634843
active_duration,tomorrow,afternoon,calendar_only,13091,7481,639,639,-0.004126803919803468,0.5993419572960483,0.10962007054560079
active_duration,tomorrow,afternoon,recent_history_only,13091,7481,639,639,0.2409196419284242,0.4674737523536008,0.49248118787097184
active_duration,tomorrow,afternoon,fingerprint_42d_only,13091,7481,639,639,0.25409095144024907,0.4617101470118681,0.5063527852861456
active_duration,tomorrow,afternoon,today_partial_only,13091,7481,639,639,0.11390682580449529,0.5338124001474245,0.3407176080931399
active_duration,tomorrow,afternoon,history_plus_fingerprint,13091,7481,639,639,0.25637009164469426,0.4602462912689112,0.5082675479299813
active_duration,tomorrow,afternoon,history_fingerprint_plus_today,13091,7481,639,639,0.26033345721183954,0.45747452384880655,0.5120719079950181
active_duration,tomorrow,evening,calendar_only,13091,7481,639,639,-0.004126803919803468,0.5993419572960483,0.10962007054560079
