target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,positive_rate_test,auroc,macro_f1,balanced_accuracy,accuracy
screen_unlock_count,tomorrow,evening,recent_history_only,16216,9187,695,695,0.4582562316316534,0.868912412775728,0.7854623460302894,0.7848081937005236,0.7875258517470338
screen_unlock_count,tomorrow,evening,fingerprint_42d_only,16216,9187,695,695,0.4582562316316534,0.8665483552130775,0.7841516033749109,0.7839878166406324,0.7857842603679112
screen_unlock_count,tomorrow,evening,today_partial_only,16216,9187,695,695,0.4582562316316534,0.8470379660929588,0.7712130315679686,0.7708333870244932,0.7731577228692718
screen_unlock_count,tomorrow,evening,history_plus_fingerprint,16216,9187,695,695,0.4582562316316534,0.8736495718786228,0.7901879520914463,0.7900257097136137,0.7917709807336454
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,16216,9187,695,695,0.4582562316316534,0.8840448485837702,0.8046291808924819,0.8049254122407254,0.805812561227822
screen_unlock_count,next_week,morning,calendar_only,15044,8576,695,695,0.45767257462686567,0.5130668426898126,0.36225047725723275,0.5013447145809339,0.542793843283582
screen_unlock_count,next_week,morning,recent_history_only,15044,8576,695,695,0.45767257462686567,0.9264664403381508,0.8515929025167029,0.8507054574935601,0.8530783582089553
screen_unlock_count,next_week,morning,fingerprint_42d_only,15044,8576,695,695,0.45767257462686567,0.9322969514124078,0.8584289735206008,0.8583083700923163,0.859491604477612
screen_unlock_count,next_week,morning,today_partial_only,15044,8576,695,695,0.45767257462686567,0.711374308928838,0.6615603718333357,0.6619068291594028,0.6721082089552238
screen_unlock_count,next_week,morning,history_plus_fingerprint,15044,8576,695,695,0.45767257462686567,0.936234738916499,0.8629629727081924,0.862719749331354,0.8640391791044776
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,15044,8576,695,695,0.45767257462686567,0.9368378555669832,0.8616615085515563,0.8613980145356043,0.8627565298507462
screen_unlock_count,next_week,afternoon,calendar_only,15044,8576,695,695,0.45767257462686567,0.5130668426898126,0.36225047725723275,0.5013447145809339,0.542793843283582
screen_unlock_count,next_week,afternoon,recent_history_only,15044,8576,695,695,0.45767257462686567,0.9264664403381508,0.8515929025167029,0.8507054574935601,0.8530783582089553
screen_unlock_count,next_week,afternoon,fingerprint_42d_only,15044,8576,695,695,0.45767257462686567,0.9322969514124078,0.8584289735206008,0.8583083700923163,0.859491604477612
screen_unlock_count,next_week,afternoon,today_partial_only,15044,8576,695,695,0.45767257462686567,0.8299587377277949,0.7570303672316384,0.7558027792119222,0.7604944029850746
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,15044,8576,695,695,0.45767257462686567,0.936234738916499,0.8629629727081924,0.862719749331354,0.8640391791044776
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,15044,8576,695,695,0.45767257462686567,0.9379405565819006,0.8671121117567069,0.8669596155610669,0.8681203358208955
screen_unlock_count,next_week,evening,calendar_only,15044,8576,695,695,0.45767257462686567,0.5130668426898126,0.36225047725723275,0.5013447145809339,0.542793843283582
screen_unlock_count,next_week,evening,recent_history_only,15044,8576,695,695,0.45767257462686567,0.9264664403381508,0.8515929025167029,0.8507054574935601,0.8530783582089553
screen_unlock_count,next_week,evening,fingerprint_42d_only,15044,8576,695,695,0.45767257462686567,0.9322969514124078,0.8584289735206008,0.8583083700923163,0.859491604477612
screen_unlock_count,next_week,evening,today_partial_only,15044,8576,695,695,0.45767257462686567,0.8688760858222396,0.792611239995472,0.7913783899633939,0.7952425373134329
screen_unlock_count,next_week,evening,history_plus_fingerprint,15044,8576,695,695,0.45767257462686567,0.936234738916499,0.8629629727081924,0.862719749331354,0.8640391791044776
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,15044,8576,695,695,0.45767257462686567,0.9395444305518845,0.8698696670943993,0.8698696670943993,0.8708022388059702
screen_unlock_duration,tomorrow,morning,calendar_only,16216,9187,695,695,0.4692500272123653,0.5008293120085616,0.3282923995325922,0.49979196435316564,0.46968542505714594
screen_unlock_duration,tomorrow,morning,recent_history_only,16216,9187,695,695,0.4692500272123653,0.8259451897191856,0.7477443785755837,0.7472860933997754,0.7493196908675303
screen_unlock_duration,tomorrow,morning,fingerprint_42d_only,16216,9187,695,695,0.4692500272123653,0.8187038080466078,0.7405420070050549,0.7401150718281961,0.7421356264286492
screen_unlock_duration,tomorrow,morning,today_partial_only,16216,9187,695,695,0.4692500272123653,0.6133278586609716,0.583498024740752,0.5842440423214819,0.5838685098508762
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,16216,9187,695,695,0.4692500272123653,0.8285791978815282,0.7510515986902635,0.7506630214520764,0.7524763252421901
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,16216,9187,695,695,0.4692500272123653,0.8286943239426623,0.7519356125638579,0.7515505625097405,0.7533471209317514
screen_unlock_duration,tomorrow,afternoon,calendar_only,16216,9187,695,695,0.4692500272123653,0.5008293120085616,0.3282923995325922,0.49979196435316564,0.46968542505714594
screen_unlock_duration,tomorrow,afternoon,recent_history_only,16216,9187,695,695,0.4692500272123653,0.8259451897191856,0.7477443785755837,0.7472860933997754,0.7493196908675303
screen_unlock_duration,tomorrow,afternoon,fingerprint_42d_only,16216,9187,695,695,0.4692500272123653,0.8187038080466078,0.7405420070050549,0.7401150718281961,0.7421356264286492
screen_unlock_duration,tomorrow,afternoon,today_partial_only,16216,9187,695,695,0.4692500272123653,0.7068587207230146,0.6613729646809602,0.661119874012128,0.6635463154457385
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,16216,9187,695,695,0.4692500272123653,0.8285791978815282,0.7510515986902635,0.7506630214520764,0.7524763252421901
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,16216,9187,695,695,0.4692500272123653,0.8295007772436309,0.7505383549919777,0.7501050168512204,0.7520409273974094
screen_unlock_duration,tomorrow,evening,calendar_only,16216,9187,695,695,0.4692500272123653,0.5008293120085616,0.3282923995325922,0.49979196435316564,0.46968542505714594
screen_unlock_duration,tomorrow,evening,recent_history_only,16216,9187,695,695,0.4692500272123653,0.8259451897191856,0.7477443785755837,0.7472860933997754,0.7493196908675303
screen_unlock_duration,tomorrow,evening,fingerprint_42d_only,16216,9187,695,695,0.4692500272123653,0.8187038080466078,0.7405420070050549,0.7401150718281961,0.7421356264286492
