target,horizon,issue_time,calendar_only,fingerprint_42d_only,history_fingerprint_plus_today,history_plus_fingerprint,recent_history_only,today_partial_only,lift_today_over_history_fingerprint,lift_history_fingerprint_over_calendar
location_entropy,next_week,morning,0.59847498110121,0.8036329395670379,0.803870405767811,0.803293259413147,0.7768163867727287,0.6351158609270423,0.0005771463546639932,0.204818278311937
location_entropy,tomorrow,afternoon,0.5534363408308193,0.7015220148724456,0.7165323978253376,0.7052466323084854,0.691078434381873,0.6557038749805534,0.01128576551685223,0.15181029147766611
location_entropy,tomorrow,evening,0.5534363408308193,0.7015220148724456,0.7315215706513615,0.7052466323084854,0.691078434381873,0.6934132880443901,0.026274938342876086,0.15181029147766611
location_entropy,tomorrow,morning,0.5534363408308193,0.7015220148724456,0.7072581149468765,0.7052466323084854,0.691078434381873,0.6032610260248733,0.0020114826383911266,0.15181029147766611
location_home_time,next_week,afternoon,0.48690130779264146,0.8413023263719268,0.8430907203358933,0.8430907203358933,0.8230004323122868,0.48690130779264146,0.0,0.3561894125432518
location_home_time,next_week,evening,0.48690130779264146,0.8413023263719268,0.8430907203358933,0.8430907203358933,0.8230004323122868,0.48690130779264146,0.0,0.3561894125432518
location_home_time,next_week,morning,0.48690130779264146,0.8413023263719268,0.8430907203358933,0.8430907203358933,0.8230004323122868,0.48690130779264146,0.0,0.3561894125432518
location_home_time,tomorrow,afternoon,0.5220720108173496,0.7848100667097484,0.8074411256760103,0.8074411256760103,0.7953983103508012,0.5220720108173496,0.0,0.2853691148586608
location_home_time,tomorrow,evening,0.5220720108173496,0.7848100667097484,0.8074411256760103,0.8074411256760103,0.7953983103508012,0.5220720108173496,0.0,0.2853691148586608
location_home_time,tomorrow,morning,0.5220720108173496,0.7848100667097484,0.8074411256760103,0.8074411256760103,0.7953983103508012,0.5220720108173496,0.0,0.2853691148586608
outgoing_call_count,next_week,afternoon,0.5329612565181528,0.8447738751811449,0.8476326967000599,0.8472028382443746,0.8065780288656563,0.619060041781796,0.000429858455685328,0.31424158172622174
outgoing_call_count,next_week,evening,0.5329612565181528,0.8447738751811449,0.848233447383589,0.8472028382443746,0.8065780288656563,0.6619738195655196,0.001030609139214378,0.31424158172622174
outgoing_call_count,next_week,morning,0.5329612565181528,0.8447738751811449,0.8471858764342484,0.8472028382443746,0.8065780288656563,0.559693308175704,-1.6961810126225885e-05,0.31424158172622174
outgoing_call_count,tomorrow,afternoon,0.5220312846625257,0.7718101666343149,0.7757922409091751,0.7746810181077034,0.7448769509224854,0.6239508086767234,0.0011112228014716896,0.2526497334451777
outgoing_call_count,tomorrow,evening,0.5220312846625257,0.7718101666343149,0.7776403312350951,0.7746810181077034,0.7448769509224854,0.6616554764479692,0.0029593131273917272,0.2526497334451777
outgoing_call_count,tomorrow,morning,0.5220312846625257,0.7718101666343149,0.7746972661666021,0.7746810181077034,0.7448769509224854,0.5505261915820902,1.624805889866021e-05,0.2526497334451777
screen_unlock_count,next_week,afternoon,0.5130668426898126,0.9322969514124078,0.9379405565819006,0.936234738916499,0.9264664403381508,0.8299587377277949,0.0017058176654015655,0.4231678962266864
screen_unlock_count,next_week,evening,0.5130668426898126,0.9322969514124078,0.9395444305518845,0.936234738916499,0.9264664403381508,0.8688760858222396,0.0033096916353855255,0.4231678962266864
screen_unlock_count,next_week,morning,0.5130668426898126,0.9322969514124078,0.9368378555669832,0.936234738916499,0.9264664403381508,0.711374308928838,0.0006031166504841812,0.4231678962266864
screen_unlock_count,tomorrow,afternoon,0.5410589423939194,0.8665483552130775,0.8780730552942586,0.8736495718786228,0.868912412775728,0.8063869333375332,0.004423483415635809,0.3325906294847034
screen_unlock_count,tomorrow,evening,0.5410589423939194,0.8665483552130775,0.8840448485837702,0.8736495718786228,0.868912412775728,0.8470379660929588,0.010395276705147394,0.3325906294847034
screen_unlock_count,tomorrow,morning,0.5410589423939194,0.8665483552130775,0.8742237093480366,0.8736495718786228,0.868912412775728,0.6932652195348007,0.0005741374694138157,0.3325906294847034
screen_unlock_duration,next_week,afternoon,0.5104302950118246,0.9100132523085172,0.9177997404085771,0.916570567656458,0.9099206306996996,0.7532067504679492,0.0012291727521192009,0.40614027264463337
screen_unlock_duration,next_week,evening,0.5104302950118246,0.9100132523085172,0.9187217563413483,0.916570567656458,0.9099206306996996,0.7983940951269741,0.0021511886848903927,0.40614027264463337
screen_unlock_duration,next_week,morning,0.5104302950118246,0.9100132523085172,0.9172379014387169,0.916570567656458,0.9099206306996996,0.6541159204708755,0.0006673337822589165,0.40614027264463337
