regime,scope,measure,sample,n_trajectories,same_person_mean,matched_cross_person_mean,delta,permutation_p,n_permutations
expanding_refit,rich,forecastability_residual_sd_entropy,known_single_year_only,273,0.17838133082471558,0.0065306089965910105,0.17185072182812458,0.001996007984031936,500
expanding_refit,rich,history_skill,all_trajectories,592,0.47496251062037415,0.04418964450689787,0.43077286611347626,0.001996007984031936,500
expanding_refit,rich,history_skill,known_single_year_only,273,0.45184043972942983,0.04482007157195136,0.4070203681574785,0.001996007984031936,500
expanding_refit,rich,history_skill_residual_sd,all_trajectories,592,0.44072401487716006,0.002487521546254361,0.4382364933309057,0.001996007984031936,500
expanding_refit,rich,history_skill_residual_sd,known_single_year_only,273,0.4107624154634785,0.009339185982067615,0.4014232294814109,0.001996007984031936,500
expanding_refit,rich,history_skill_residual_sd_entropy,all_trajectories,592,0.3834802067192447,0.0049847397343759335,0.3784954669848688,0.001996007984031936,500
expanding_refit,rich,history_skill_residual_sd_entropy,known_single_year_only,273,0.35707483748561025,0.01150327244430951,0.34557156504130077,0.001996007984031936,500
fixed_original,core,forecastability,all_trajectories,521,0.34953662936169755,0.06279839754337524,0.2867382318183223,9.999000099990002e-05,10000
fixed_original,core,forecastability,known_single_year_only,232,0.324427491428407,0.04934917292554872,0.27507831850285824,0.001996007984031936,500
fixed_original,core,forecastability_residual_sd,all_trajectories,521,0.199185557190946,0.016310607201776663,0.18287494998916934,0.001996007984031936,500
fixed_original,core,forecastability_residual_sd,known_single_year_only,232,0.16866639215782436,0.017509780914755354,0.151156611243069,0.001996007984031936,500
fixed_original,core,forecastability_residual_sd_entropy,all_trajectories,521,0.1903980055025129,0.010853838569535285,0.17954416693297762,9.999000099990002e-05,10000
fixed_original,core,forecastability_residual_sd_entropy,known_single_year_only,232,0.16146115709250458,0.010058453969742377,0.15140270312276222,0.001996007984031936,500
fixed_original,core,history_skill,all_trajectories,521,0.4891572116687441,0.034855251030821606,0.4543019606379225,0.001996007984031936,500
fixed_original,core,history_skill,known_single_year_only,232,0.4807589347750883,0.04653325352233367,0.4342256812527546,0.001996007984031936,500
fixed_original,core,history_skill_residual_sd,all_trajectories,521,0.45549454922305593,0.0016706086014536658,0.45382394062160225,0.001996007984031936,500
fixed_original,core,history_skill_residual_sd,known_single_year_only,232,0.4400718865917948,0.011179762557416956,0.4288921240343778,0.001996007984031936,500
fixed_original,core,history_skill_residual_sd_entropy,all_trajectories,521,0.37024389823615106,0.008410030302836557,0.3618338679333145,9.999000099990002e-05,10000
fixed_original,core,history_skill_residual_sd_entropy,known_single_year_only,232,0.35296006714335987,0.01511468840105516,0.3378453787423047,0.001996007984031936,500
fixed_original,rich,forecastability,all_trajectories,592,0.40455690803174194,0.07395304265648661,0.3306038653752553,0.001996007984031936,500
fixed_original,rich,forecastability,known_single_year_only,273,0.3661808137083978,0.05865488856403597,0.30752592514436183,0.001996007984031936,500
fixed_original,rich,forecastability_residual_sd,all_trajectories,592,0.2521742484208859,0.010719482289979314,0.2414547661309066,0.001996007984031936,500
fixed_original,rich,forecastability_residual_sd,known_single_year_only,273,0.21001240684470085,0.011147792781279616,0.19886461406342124,0.001996007984031936,500
fixed_original,rich,forecastability_residual_sd_entropy,all_trajectories,592,0.2182734392221852,0.006893173464358705,0.2113802657578265,0.001996007984031936,500
fixed_original,rich,forecastability_residual_sd_entropy,known_single_year_only,273,0.18015167565769974,0.007348025830521895,0.17280364982717783,0.001996007984031936,500
fixed_original,rich,history_skill,all_trajectories,592,0.4799396999012018,0.04687516104736764,0.4330645388538341,0.001996007984031936,500
fixed_original,rich,history_skill,known_single_year_only,273,0.45879114815213135,0.04683123242271063,0.4119599157294207,0.001996007984031936,500
fixed_original,rich,history_skill_residual_sd,all_trajectories,592,0.44145095953063956,0.0018472208340763014,0.4396037386965633,0.001996007984031936,500
fixed_original,rich,history_skill_residual_sd,known_single_year_only,273,0.41527523513343245,0.01057747258640553,0.40469776254702694,0.001996007984031936,500
fixed_original,rich,history_skill_residual_sd_entropy,all_trajectories,592,0.3856097130101847,0.004531908157942363,0.38107780485224235,0.001996007984031936,500
fixed_original,rich,history_skill_residual_sd_entropy,known_single_year_only,273,0.3643948012195551,0.008040097727589943,0.35635470349196513,0.001996007984031936,500
