regime,scope,analysis,measure,n_trajectories,pearson_r,ci_low,ci_high
fixed_original,core,residual_variability_entropy,forecastability,521,0.22999774253581529,0.04919973506382645,0.40910774919017195
fixed_original,core,residual_variability,history_skill,521,0.4430231079822902,0.3669744328814613,0.518059790518069
fixed_original,core,residual_entropy,history_skill,521,0.36386518457202116,0.28080570759696183,0.448374835258715
fixed_original,core,residual_variability_entropy,history_skill,521,0.33600951860497263,0.2585746838997488,0.41767853814111716
fixed_original,rich,pooled,forecastability,592,0.4110333539786456,0.3300999540645623,0.4844415068377845
fixed_original,rich,pooled,history_skill,592,0.4607776294433337,0.37970851884792645,0.539639336626068
fixed_original,rich,pooled,variability,592,0.2750206326400877,0.2009266410901229,0.3461936911910326
fixed_original,rich,pooled,entropy,592,0.5012330427030626,0.43875275668018254,0.5583764063876412
fixed_original,rich,cohort_fixed_effect_residual,forecastability,592,0.4231546605600627,0.34870154109353035,0.49143877514113116
fixed_original,rich,residual_variability,forecastability,592,0.26110773632609774,0.15322600839987127,0.3573260768419635
fixed_original,rich,residual_entropy,forecastability,592,0.43464295714398027,0.3608303009238948,0.5037139878368455
fixed_original,rich,residual_variability_entropy,forecastability,592,0.2083260873741203,0.10507442778308804,0.2929760734009909
fixed_original,rich,residual_variability,history_skill,592,0.34059188261458173,0.24796373184776285,0.4353447349152447
fixed_original,rich,residual_entropy,history_skill,592,0.30382280593472444,0.21244395241706676,0.3907113638877641
fixed_original,rich,residual_variability_entropy,history_skill,592,0.2783213739364159,0.18326274170951065,0.36535217358149985
disjoint_refit,core,known_single_year_only,forecastability,215,0.3287137137609731,0.1699622921904227,0.478210537413242
disjoint_refit,rich,known_single_year_only,forecastability,262,0.28729798186566746,0.1494954898569358,0.39999420739019137
expanding_refit,core,known_single_year_only,forecastability,232,0.41319164234333583,0.24811622260271268,0.5525500652883469
expanding_refit,rich,known_single_year_only,forecastability,273,0.3770428836350983,0.26466439317655877,0.48814152029762714
fixed_original,core,known_single_year_only,forecastability,232,0.41730329594911203,0.26145860708715635,0.5620306386803848
fixed_original,rich,known_single_year_only,forecastability,273,0.3838940552888679,0.2705034341249176,0.49097507232898197
