control_set,construct,target,n,partial_r,p_fisher,bootstrap_ci_low,bootstrap_ci_high,q_fdr_all,bonferroni_p_all,max_stat_permutation_p
level_variability_controlled,rich_history_skill,baseline_depression,512,-0.09971931589383093,0.023991063959651462,-0.18310051600454688,-0.012368209819175524,0.0447833193913494,0.671749790870241,0.40119760479041916
level_variability_controlled,rich_history_skill,baseline_stress,512,-0.0981091832829485,0.026378938040302728,-0.18744068326081295,-0.012705600596254096,0.046163141570529774,0.7386102651284764,0.4411177644710579
level_variability_controlled,rich_forecastability,baseline_stress,512,-0.09001358103876227,0.041719177608474683,-0.1773465951560436,0.010386608923231544,0.0669091162463442,1.0,0.590818363273453
level_variability_controlled,core_forecastability,baseline_social_fit,510,0.08962933384633222,0.04301300330122127,0.006635842976916985,0.17532199684527655,0.0669091162463442,1.0,0.6067864271457086
level_variability_controlled,rich_forecastability,baseline_extraversion,511,0.08215078420625302,0.06348679270287946,-0.00743144918025567,0.1630642559098032,0.09355948398319078,1.0,0.7385229540918163
level_variability_controlled,core_history_skill,baseline_social_fit,510,0.06529030110417501,0.14096313678615274,-0.015459546201484188,0.15423520944590743,0.19734839150061384,1.0,0.9620758483033932
level_variability_controlled,core_forecastability,baseline_conscientiousness,511,0.05608447149641214,0.2057252267933158,-0.026403165757015522,0.14249230828070067,0.27430030239108777,1.0,0.9940119760479041
level_variability_controlled,rich_forecastability,baseline_social_fit,510,0.05099311194348891,0.2504770824175804,-0.03200771395816476,0.1331807814173236,0.31477824975743546,1.0,0.998003992015968
level_variability_controlled,core_history_skill,baseline_extraversion,511,0.05008405626251887,0.25856784801503624,-0.03120616292839009,0.1325282724776516,0.31477824975743546,1.0,0.998003992015968
level_variability_controlled,rich_history_skill,baseline_loneliness,512,-0.037119785593948414,0.40211748483293475,-0.12775887203130065,0.046731152230099014,0.4691370656384239,1.0,1.0
level_variability_controlled,core_forecastability,baseline_extraversion,511,0.03425897750523505,0.43984176911088385,-0.06849493292894007,0.12428716688635724,0.4926227814041899,1.0,1.0
level_variability_controlled,rich_history_skill,baseline_social_fit,510,0.02536947745403559,0.5677566479475905,-0.057510224215730786,0.10948859043260442,0.6114302362512514,1.0,1.0
level_variability_controlled,rich_history_skill,baseline_extraversion,511,0.02177732274596796,0.623487598381937,-0.0643906059270889,0.10285412202584965,0.6465797316553421,1.0,1.0
level_variability_controlled,rich_forecastability,baseline_conscientiousness,511,0.010936832957617593,0.8052847359430688,-0.06752206415362075,0.08873591525076069,0.8052847359430688,1.0,1.0
